frame.number,frame.time_relative,frame.time_epoch,frame.len,frame.protocols,eth.type,ip.src,ip.dst,ip.ttl,ip.flags.df,tcp.stream,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,http.request.method,http.request.uri,http.response.code,http.request_in,http.response_in,tls.handshake.type,tls.handshake.extensions.supported_version,tls.handshake.ciphersuite
51,1.299152200,1789973466.108749600,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0010,1,1528,0,,,,,,,,,,
52,1.300348500,1789973466.109945900,1514,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0010,1,1528,1460,,,,,,,,2,0x0304,0x1302
53,1.300425700,1789973466.110023100,1514,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0018,1461,1528,1460,,,,,,,,,,
54,1.300433700,1789973466.110031100,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,2,65252,443,0x0010,1528,2921,0,,,,,,,,,,
55,1.300689800,1789973466.110287200,1230,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0018,2921,1528,1176,,,,,,,,,,
56,1.300693600,1789973466.110291000,837,eth:ethertype:ip:tcp:tls:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:tls:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:tls,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0018,4097,1528,783,,,,,,,,11,,
57,1.300699500,1789973466.110296900,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,2,65252,443,0x0010,1528,4880,0,,,,,,,,,,
58,1.303504300,1789973466.113101700,134,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,2,65252,443,0x0018,1528,4880,80,,,,,,,,20,,
59,1.303569400,1789973466.113166800,484,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,2,65252,443,0x0018,1608,4880,430,,,,,,,,,,
60,1.303583700,1789973466.113181100,127,eth:ethertype:ip:tcp:tls:http:json,0x0800,192.168.1.152,46.225.13.27,128,True,2,65252,443,0x0018,2038,4880,73,,,POST,/mcp,,,65,,,
